"team_roster_id","team_id","valid_from","valid_until","player_id","player_name","nickname","team_main_color","team_secondary_color","position_type_id","position_id","tournament","gameday_from_timestamp","gameday_from_timestamp-2","gamephase_from_timestamp","gamephase_from_timestamp-2"
39158,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5","2021-04-25 18:01:12.410797",NULL,"b7267aba-6114-4d53-a519-bf6c99f4e3a9","Sosa Hayes","Spies","#67556b","#9e82a4",3,3,-1,"(16,113)","(0,0)","(16,,,POSTSEASON_END)",NULL
38283,"8d87c468-699a-47a8-b40d-cfb73a5660ad","2021-03-19 20:01:01.284368","2021-03-19 20:01:04.742249","b72a136e-bbfd-4687-a576-1ab538c8f264","Samothes Dembélé","Crabs","#593037","#b05c6b",3,5,-1,"(13,98)","(13,98)","(13,,,PRE_POSTSEASON)","(13,,,PRE_POSTSEASON)"
38289,"8d87c468-699a-47a8-b40d-cfb73a5660ad","2021-03-19 20:01:05.878887","2021-03-21 18:01:10.345839","b72a136e-bbfd-4687-a576-1ab538c8f264","Samothes Dembélé","Crabs","#593037","#b05c6b",3,5,-1,"(13,98)","(-1,116)","(13,,,PRE_POSTSEASON)","(13,,,ELECTIONS)"
38354,"8d87c468-699a-47a8-b40d-cfb73a5660ad","2021-03-21 18:01:10.345839",NULL,"b72a136e-bbfd-4687-a576-1ab538c8f264","Samothes Dembélé","Crabs","#593037","#b05c6b",3,6,-1,"(-1,116)","(0,0)","(13,,,ELECTIONS)",NULL
36446,"7966eb04-efcc-499b-8f03-d13916330531","2020-07-29 08:12:22.438","2021-04-25 18:01:12.410797","b77dffaa-e0f5-408f-b9f2-1894ed26e744","Tucker Lenny","Magic","#bf0043","#f60f63",2,7,-1,"(1,27)","(16,113)","(1,,27,GAMEDAY)","(16,,,POSTSEASON_END)"
39149,"7966eb04-efcc-499b-8f03-d13916330531","2021-04-25 18:01:12.410797",NULL,"b77dffaa-e0f5-408f-b9f2-1894ed26e744","Tucker Lenny","Magic","#bf0043","#f60f63",2,6,-1,"(16,113)","(0,0)","(16,,,POSTSEASON_END)",NULL
36644,"b63be8c2-576a-4d6e-8daf-814f8bcea96f","2020-07-29 08:12:22.438",NULL,"b7adbbcc-0679-43f3-a939-07f009a393db","Jode Crutch","Dale","#9141ba","#cd76fa",2,5,-1,"(1,27)","(0,0)","(1,,27,GAMEDAY)",NULL
36544,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5","2020-07-29 08:12:22.438","2020-09-13 19:17:57.703","b7c1ddda-945c-4b2e-8831-ad9f2ec4a608","Nolan Violet","Spies","#67556b","#9e82a4",2,5,-1,"(1,27)","(5,109)","(1,,27,GAMEDAY)","(5,,,END_POSTSEASON)"
37048,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5","2020-09-13 19:17:57.703",NULL,"b7c1ddda-945c-4b2e-8831-ad9f2ec4a608","Nolan Violet","Spies","#67556b","#9e82a4",2,6,-1,"(5,109)","(0,0)","(5,,,END_POSTSEASON)",NULL
36543,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5","2020-07-29 08:12:22.438","2020-09-13 19:17:57.703","b7c4f986-e62a-4a8f-b5f0-8f30ecc35c5d","Oscar Hollywood","Spies","#67556b","#9e82a4",2,4,-1,"(1,27)","(5,109)","(1,,27,GAMEDAY)","(5,,,END_POSTSEASON)"
